t,X_obs,Y_obs,Z_obs,X_true,Y_true,Z_true
14.859,-15.300455342675065,-19.241732279837045,32.753927034489486,-14.571829452015628,-16.30278745475071,33.41011523857876
14.86,-14.271432693496893,-17.19477186058575,32.29167191124673,-14.58857507970023,-16.20657262814291,33.55782484408347
14.861,-15.857229926369982,-20.19831080500002,32.44743382164708,-14.604186064376387,-16.108221580378288,33.703985586186356
14.862,-11.559958349517396,-11.677719627649406,34.27518206669614,-14.618652573698215,-16.00776124823783,33.848549193310895
14.863,-14.434074346042944,-15.000919993360567,30.804384440455113,-14.631965147505428,-15.90521986716338,33.99146801549203
14.864,-14.468670495152308,-13.296088090326196,35.381710282071026,-14.644114706280883,-15.800626958029824,34.132695062300265
14.865,-14.182207249345977,-19.504020072498985,33.86377401480863,-14.655092562128022,-15.69401330450992,34.27218405693252
14.866,-11.373140662750131,-13.887275869107185,35.862272963540654,-14.664890425444309,-15.585410937982717,34.40988946903833
14.867,-14.268162419149705,-15.893349485629132,29.511130060238813,-14.673500413643769,-15.47485311714427,34.545766556294
14.868,-14.651853220077586,-15.827114949599006,34.50532142396932,-14.680915060499567,-15.362374300391089,34.67977141410982
14.869,-17.19505957989606,-14.913997235138691,36.901487265659576,-14.687127321893202,-15.248010128459551,34.811861004360445
14.870000000000001,-13.397503905945173,-14.82494735765231,36.139962656055246,-14.692130584585332,-15.131797394698154,34.941993201139816
14.871,-17.919238429364455,-16.89071907777416,32.74837049093621,-14.695918673145082,-15.013774016898699,35.07012683059726
14.872,-13.511473563165,-14.883632143511395,34.7696054089098,-14.698485855681078,-14.893979014320404,35.196221700469344
14.873000000000001,-13.029799048558978,-15.204843489894595,38.28996659394382,-14.699826851632487,-14.772452469984655,35.32023864577412
14.874,-16.045152357396123,-14.663643584890243,34.14108298753451,-14.699936836682022,-14.649235503756394,35.44213955886318
14.875,-15.428961215961248,-16.98150405058736,35.30732595516879,-14.698811448479638,-14.524370240962558,35.56188742141124
14.876,-15.730669562696734,-16.596861107172234,34.45753099558013,-14.696446792627848,-14.397899770538325,35.67944634515593
14.877,-12.703133490701395,-8.236129519728413,35.60220046076401,-14.692839446392822,-14.269868118260247,35.79478159509612
14.878,-12.661210708780882,-14.705813891867638,36.201894803100174,-14.687986463897323,-14.140320204641627,35.90785962391579
14.879,-16.255705741942442,-16.79207641487328,30.816652454560206,-14.681885379895881,-14.009301805756017,36.01864810254025
